The 40-Year old Virgin			
I Love You			
Alice B. Toklas			
The Party			
Play It Again			
Sam			
Bob & Ted & Carol & Alice			
The World’s Greatest Lover			
Lover Boy			
Roxanne			
Down with Love			
Bridget Jones’s Diary			
The Guru			
