When Harry Met			
Sally			
Pat and Mike			
Pretty Woman			
Sleepless in Seattle			
You’ve Got Mail			
French Kiss			
Notting Hill			
The Wedding Planner			
Maid in Manhattan			
Two Weeks			
Failure to Launch			
