Planes			
Trains and Automobiles			
Easy Rider; National			
Lampoon’s Vacation; Stranger			
than Paradise
Fandango			
Thelma & Louise Finding Nemo			
Road Trip			
O Brother			
Where Art Thou?			
Little Miss			
Sunshine			
Wild Hog			

