Eternal Sunshine of the Spotless Mind			
It’s a Wonderful Life			
Heaven Can Wait			
Field of Dreams			
Scrooged			
Groundhog Day			
Pleasantville			
The Butterfly Effect			
Primer			
Sliding Doors			
The Family Man			
